species_original,species_clean,tree_label,display_PCx_oriented,display_PCy_oriented,mahalanobis_d2_to_projected_root_uncertainty,inside_50_projected_root_ellipse,inside_80_projected_root_ellipse,inside_95_projected_root_ellipse,closest_projected_root_ellipse_level
Turdus tephronotus,turdus tephronotus,turdus_tephronotus,-0.14876653447878782,-0.2740370624489009,0.05189074005946535,TRUE,TRUE,TRUE,50%
Pogoniulus pusillus,pogoniulus pusillus,pogoniulus_pusillus,-0.32503471697164127,-0.4281234279640617,0.052666671735373476,TRUE,TRUE,TRUE,50%
Drymophila rubricollis,drymophila rubricollis,drymophila_rubricollis,-0.4967515703443063,-0.3398128066399335,0.05282285819513293,TRUE,TRUE,TRUE,50%
Ardea cocoi,ardea cocoi,ardea_cocoi,-0.4615128031215074,-0.1646856440414422,0.05345982241734174,TRUE,TRUE,TRUE,50%
Dubusia taeniata,dubusia taeniata,dubusia_taeniata,-0.1496480780330679,-0.21003727679061396,0.0535049557476747,TRUE,TRUE,TRUE,50%
Jynx ruficollis,jynx ruficollis,jynx_ruficollis,-0.27658863054912175,-0.4189222263522461,0.053505687258276056,TRUE,TRUE,TRUE,50%
Drepanorhynchus reichenowi,drepanorhynchus reichenowi,drepanorhynchus_reichenowi,-0.2720783885626049,-0.41775454876725826,0.0537752372048478,TRUE,TRUE,TRUE,50%
Scopus umbretta,scopus umbretta,scopus_umbretta,-0.47729300945449504,-0.1813873495040889,0.05423546298269839,TRUE,TRUE,TRUE,50%
Sylvia abyssinica,sylvia abyssinica,sylvia_abyssinica,-0.2139388642138256,-0.12517752671278234,0.054312490205676286,TRUE,TRUE,TRUE,50%
Eriocnemis nigrivestis,eriocnemis nigrivestis,eriocnemis_nigrivestis,-0.48087140743361806,-0.18594180639210556,0.05436999847438854,TRUE,TRUE,TRUE,50%
Tockus deckeni,tockus deckeni,tockus_deckeni,-0.20480865779816487,-0.379025670777184,0.0543925558207124,TRUE,TRUE,TRUE,50%
Merulaxis stresemanni,merulaxis stresemanni,merulaxis_stresemanni,-0.5096787927713521,-0.2521419670067567,0.05447971819619707,TRUE,TRUE,TRUE,50%
Kleinothraupis atropileus,kleinothraupis atropileus,kleinothraupis_atropileus,-0.16634896167240149,-0.33609902490924,0.0553605281221927,TRUE,TRUE,TRUE,50%
Trogon surrucura,trogon surrucura,trogon_surrucura,-0.2519550331173884,-0.10464186826977612,0.05629399172292778,TRUE,TRUE,TRUE,50%
Saltator fuliginosus,saltator fuliginosus,saltator_fuliginosus,-0.39680121416742,-0.113538920226117,0.05693194633898233,TRUE,TRUE,TRUE,50%
Myornis senilis,myornis senilis,myornis_senilis,-0.19265314199939654,-0.13319968890626288,0.05782797810700907,TRUE,TRUE,TRUE,50%
Heteromirafra archeri,heteromirafra archeri,heteromirafra_archeri,-0.17994809615304277,-0.36130296878336526,0.057874484950994565,TRUE,TRUE,TRUE,50%
Cursorius temminckii,cursorius temminckii,cursorius_temminckii,-0.4282954091133473,-0.12708475561201626,0.05888976339665057,TRUE,TRUE,TRUE,50%
Chrysococcyx caprius,chrysococcyx caprius,chrysococcyx_caprius,-0.14934489384877747,-0.31766350535351656,0.05942501005886413,TRUE,TRUE,TRUE,50%
Laniarius funebris,laniarius funebris,laniarius_funebris,-0.23025744237180243,-0.4071990074184038,0.05963649753974792,TRUE,TRUE,TRUE,50%
