x,y,level,level_probability
-3.8789429147380456,0.8787601404854386,80%,0.8
-3.8939517075609524,0.7973629639220672,80%,0.8
-3.907399836112681,0.7155036182531409,80%,0.8
-3.9192813620782427,0.6332182502612711,80%,0.8
-3.9295910389102504,0.550543194848536,80%,0.8
-3.9383243141456434,0.46751495899200807,80%,0.8
-3.9454773314159297,0.3841702056233019,80%,0.8
-3.9510469321500494,0.3005457374392538,80%,0.8
-3.9550306569691074,0.21667848065088868,80%,0.8
-3.957426746772372,0.13260546867784495,80%,0.8
-3.9582341435140362,0.0483638257954595,80%,0.8
-3.9574524906704305,-0.03600924925827215,80%,0.8
-3.955082133397445,-0.12047649970860419,80%,0.8
-3.9511241183781234,-0.20500062719558826,80%,0.8
-3.945580193360474,-0.2895443082439759,80%,0.8
-3.93845280638572,-0.37407021074422053,80%,0.8
-3.929745104707303,-0.4585410104372777,80%,0.8
-3.9194609334011528,-0.5429194073959522,80%,0.8
-3.9076048336678078,-0.627168142495498,80%,0.8
-3.894182040827146,-0.7112500138661929,80%,0.8
-3.879198482006619,-0.7951278933206409,80%,0.8
-3.8626607735239986,-0.8787647427485326,80%,0.8
-3.8445762179657947,-0.9621236304716356,80%,0.8
-3.824952800962641,-1.0451677475517793,80%,0.8
-3.8037991876630635,-1.1278604240446484,80%,0.8
-3.781124718907198,-1.2101651451921964,80%,0.8
-3.7569394071021343,-1.292045567546539,80%,0.8
-3.73125393180072,-1.3734655350181917,80%,0.8
-3.7040796349857743,-1.4543890948415843,80%,0.8
-3.675428516061783,-1.5347805134507893,80%,0.8
-3.645313226556299,-1.6146042922584616,80%,0.8
-3.6137470645333893,-1.6938251833310096,80%,0.8
-3.5807439687215803,-1.7724082049530943,80%,0.8
-3.546318512358906,-1.850318657074571,80%,0.8
-3.51048589675778,-1.927522136633051,80%,0.8
-3.473261944592524,-2.003984552745328,80%,0.8
-3.4346630929125164,-2.079672141760951,80%,0.8
-3.3947063858840565,-2.1545514821713043,80%,0.8
-3.3534094672641404,-2.2285895093676023,80%,0.8
-3.3107905726094753,-2.3017535302412893,80%,0.8
-3.266868521224172,-2.3740112376203992,80%,0.8
-3.2216627078496627,-2.4453307245354923,80%,0.8
-3.175193094100541,-2.515680498308871,80%,0.8
-3.127480199650063,-2.5850294944608647,80%,0.8
-3.0785450931692475,-2.653347090427025,80%,0.8
-3.0284093830235346,-2.720603119080194,80%,0.8
-2.977095207731148,-2.7867678820514525,80%,0.8
-2.924625226187345,-2.8518121628440847,80%,0.8
-2.8710226076588823,-2.9157072397347665,80%,0.8
-2.8163110215531297,-2.978424898456262,80%,0.8
-2.760514626966315,-3.039937444656053,80%,0.8
-2.703658062015557,-3.1002177161253868,80%,0.8
-2.645766432959359,-3.159239094793342,80%,0.8
-2.5868653031113986,-3.216975518480617,80%,0.8
